city_cn,city,city_id,province_cn,province,tier,lat,lng,population
北京市,Beijing,110000,北京市,Beijing,Tier 1,39.91092454729957,116.4133836971231,2153.6
天津市,Tianjin,120000,天津市,Tianjin,new Tier 1,39.093667843403956,117.2095232146708,1561.83
石家庄市,Shijiazhuang,130100,河北省,Hebei,Tier 2,38.0483119268727,114.52153190157443,1039.42
唐山市,Tangshan,130200,河北省,Hebei,Tier 3,39.63658372414733,118.1864594720398,796.4
秦皇岛市,Qinhuangdao,130300,河北省,Hebei,Tier 3,39.941748102377936,119.60853063334328,314.63
邯郸市,Handan,130400,河北省,Hebei,Tier 3,36.631262731204046,114.5456282282352,954.97
邢台市,Xingtai,130500,河北省,Hebei,Tier 3,37.076685950966095,114.5114622561298,739.52
保定市,Baoding,130600,河北省,Hebei,Tier 2,38.879987768455344,115.47146383768579,939.91
张家口市,Zhangjiakou,130700,河北省,Hebei,Tier 4,40.7732372026915,114.89257223145165,442.33
承德市,Chengde,130800,河北省,Hebei,Tier 4,40.957856012338034,117.9693975099668,358.27
沧州市,Cangzhou,130900,河北省,Hebei,Tier 3,38.31021514110704,116.84558075595017,754.43
廊坊市,Langfang,131000,河北省,Hebei,Tier 2,39.54336666275853,116.69058173342549,492.05
衡水市,Hengshui,131100,河北省,Hebei,Tier 4,37.745191408077424,115.6754061376161,448.6
太原市,Taiyuan,140100,山西省,Shanxi,Tier 2,37.87698902884778,112.55639149167204,446.19
大同市,Datong,140200,山西省,Shanxi,Tier 4,40.0824687161612,113.30643625858623,346.3
阳泉市,Yangquan,140300,山西省,Shanxi,Tier 5,37.862360847859385,113.58761666287546,141.75
长治市,Changzhi,140400,山西省,Shanxi,Tier 4,36.2012683721548,113.12255886984902,347.8
晋城市,Jincheng,140500,山西省,Shanxi,Tier 5,35.49628458647257,112.85857823132879,235.3
朔州市,Shuozhou,140600,山西省,Shanxi,Tier 5,39.337108370541735,112.4393709396677,178.45
晋中市,Jinzhong,140700,山西省,Shanxi,Tier 4,37.69283940975971,112.75959475565928,338.9484
运城市,Yuncheng,140800,山西省,Shanxi,Tier 4,35.032706912909234,111.01338945447924,537.26
忻州市,Xinzhou,140900,山西省,Shanxi,Tier 4,38.42238338517772,112.74062416023848,317.29
临汾市,Linfen,141000,山西省,Shanxi,Tier 4,36.093741895419726,111.52553022403072,450.84
吕梁市,Lvliang,141100,山西省,Shanxi,Tier 4,37.524497749577115,111.15044967529184,389.09
呼和浩特市,Hohhot,150100,内蒙古自治区,Neimenggu,Tier 3,40.848422997113474,111.75550856170946,313.7
包头市,Baotou,150200,内蒙古自治区,Neimenggu,Tier 4,40.66292878826139,109.84654350721243,289.7
乌海市,Wuhai,150300,内蒙古自治区,Neimenggu,Tier 5,39.6620063648907,106.80039104999656,56.61
赤峰市,Chifeng,150400,内蒙古自治区,Neimenggu,Tier 5,42.261686103411606,118.89552039751949,433.09
通辽市,Tongliao,150500,内蒙古自治区,Neimenggu,Tier 5,43.657980083916655,122.25052178737631,313.88
鄂尔多斯市,Ordos,150600,内蒙古自治区,Neimenggu,Tier 4,39.61448231394889,109.78744317923599,208.76
呼伦贝尔市,Hulunbuir,150700,内蒙古自治区,Neimenggu,Tier 5,49.21844647556481,119.77237049946636,253.41
巴彦淖尔市,Bayannur,150800,内蒙古自治区,Neimenggu,Tier 5,40.7493594895728,107.39439808372492,169.4
乌兰察布市,Ulanqab,150900,内蒙古自治区,Neimenggu,Tier 5,41.00074832767381,113.13946767446328,209.02
兴安盟,Xinganmeng,152200,内蒙古自治区,Neimenggu,Tier 5,46.088463713218964,122.0443645258252,161.13
