city_cn,city,city_id,province_cn,province,tier,lat,lng,population,city_tier1,city_tier2,city_tier3,city_tier4,city_tier5,distance,local_flow,pagerank,mean_intensity,intensity_2019,intensity_2020,intensity_reduction,date_0123,date_0124,date_0125,date_0126,date_0127,date_0128,date_0129,date_0130,date_0131,date_0201,date_0202,date_0203,date_0204,date_0205,date_0206,date_0207,date_0208,date_0209,date_0210,date_0211,date_0212,date_0213,date_0214,date_0215,date_0216,date_0217,date_0218,date_0219,date_0220,date_0221,date_0222,date_0223,date_0224,date_0225,date_0226,date_0227,date_0228,date_0229,date_0301,date_0302,date_0303,date_0304,date_0305,date_0306,date_0307,date_0308,date_0309,date_0310,date_0311,date_0312,date_0313,date_0314,date_0315,date_0316,date_0317,date_0318,date_0319,date_0320,date_0321,date_0322,date_0323,date_0324,date_0325,date_0326,date_0327,date_0328,date_0329,date_0330,date_0331,date_0401,hubei_city
北京市,Beijing,110000,北京市,Beijing,Tier 1,39.91092454729957,116.4133836971231,2153.6,1,0,0,0,0,1050.6401582394733,184.35350115,0.015574170878657955,5.677559090909091,331.92119999999994,241.5429,90.37829999999997,26,36,51,67,80,96,112,132,156,183,212,228,253,274,297,315,326,337,342,352,366,372,375,380,381,387,393,395,396,399,399,399,400,400,410,410,411,413,414,414,417,418,422,426,428,428,429,435,435,436,437,442,446,455,458,479,485,499,512,522,554,559,565,569,572,576,577,580,580,582,0
天津市,Tianjin,120000,天津市,Tianjin,new Tier 1,39.093667843403956,117.2095232146708,1561.83,1,0,0,0,0,978.8401708584275,30.484535004,0.005574312236027474,5.610922727272729,356.668,258.5126,98.1554,0,8,10,14,23,24,27,31,32,41,48,60,67,69,79,81,88,91,95,107,113,119,120,122,125,127,128,130,131,133,135,135,135,135,135,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,137,137,137,141,142,145,147,152,156,163,166,174,174,176,0
石家庄市,Shijiazhuang,130100,河北省,Hebei,Tier 2,38.0483119268727,114.52153190157443,1039.42,0,1,0,0,0,826.6276638502219,30.89218046400001,0.0051906172445681355,5.479822727272726,346.9245,260.6993,86.22520000000004,1,4,5,7,9,10,11,11,12,13,16,21,21,24,24,24,24,25,27,27,27,27,27,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,0
唐山市,Tangshan,130200,河北省,Hebei,Tier 3,39.63658372414733,118.1864594720398,796.4,0,0,1,0,0,1062.8056889577238,9.256907772,0.0026922257420433377,5.583631818181819,355.8822,288.39370000000014,67.48849999999993,0,0,0,0,1,3,3,7,8,11,11,11,12,17,19,23,27,28,31,33,35,43,46,51,51,51,55,56,57,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,0
秦皇岛市,Qinhuangdao,130300,河北省,Hebei,Tier 3,39.941748102377936,119.60853063334328,314.63,0,0,1,0,0,1142.576314249283,4.230622872,0.001596581671043957,5.3842954545454536,333.1633,280.1461,53.0172,0,0,0,0,0,0,0,0,1,1,2,2,3,3,5,7,7,7,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
邯郸市,Handan,130400,河北省,Hebei,Tier 3,36.631262731204046,114.5456282282352,954.97,0,0,1,0,0,669.4843728588997,25.975888218,0.003952656689123621,5.2819318181818184,354.68869999999987,277.33200000000005,77.35669999999988,0,0,2,2,4,4,6,7,10,11,11,14,14,18,22,26,27,27,27,29,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
邢台市,Xingtai,130500,河北省,Hebei,Tier 3,37.076685950966095,114.5114622561298,739.52,0,0,1,0,0,718.8010669997194,19.854137286,0.0033579477638448303,5.1522272727272735,345.72240000000005,254.0005,91.72190000000008,0,0,0,1,2,3,5,7,10,10,14,16,16,19,19,21,21,21,21,21,21,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,0
保定市,Baoding,130600,河北省,Hebei,Tier 2,38.879987768455344,115.47146383768579,939.91,0,1,0,0,0,924.8167664502727,18.839091618000005,0.004363172629039083,4.987400000000001,319.8782,223.4632,96.415,0,1,3,3,3,6,7,11,11,13,13,13,17,17,18,18,21,26,30,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
张家口市,Zhangjiakou,130700,河北省,Hebei,Tier 4,40.7732372026915,114.89257223145165,442.33,0,0,0,1,0,1130.1490624546625,5.34061836,0.0020176739758956995,5.01784090909091,342.8495000000001,267.8235000000001,75.02599999999995,0,0,0,0,0,1,6,6,8,9,9,9,10,12,13,14,14,17,21,21,25,31,33,34,34,34,34,34,34,34,34,34,34,35,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,0
承德市,Chengde,130800,河北省,Hebei,Tier 4,40.957856012338034,117.9693975099668,358.27,0,0,0,1,0,1195.7432743563918,3.316916304,0.001609946050003804,4.999840909090908,324.4351,270.3395,54.09559999999999,0,1,1,1,1,1,2,2,2,2,2,3,4,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0
