"city_cn","city","raw_predict","predicted_cumulative_cases"
"北京市","Beijing",43722.0893636821,43719
"上海市","Shanghai",40726.7718185723,40737
"天津市","Tianjin",20707.5301147905,20707
"重庆市","Chongqing",18023.8868120361,18016
"郑州市","Zhengzhou",26258.6496531162,26253
"长沙市","Changsha",21162.3750395801,21168
"合肥市","Hefei",16151.7431727978,16154
"广州市","Guangzhou",43819.5919731197,43824
"深圳市","Shenzhen",40363.9554345767,40363
"南昌市","Nanchang",11134.1268300467,11125
"南京市","Nanjing",21501.8966265078,21495
"杭州市","Hangzhou",27439.6048891972,27432
"沈阳市","Shenyang",12126.0434721376,12131
"苏州市","Suzhou",33250.3085878315,33251
"西安市","Xian",22668.7156910256,22664
"成都市","Chengdu",30492.8262945495,30495
