date,migration_index
20190112,11.2168152
20190113,7.7077332
20190114,7.9039152
20190115,7.7890572
20190116,8.2920996
20190117,8.493012
20190118,9.471816
20190119,12.126834
20190120,9.4347828
20190121,9.63495
20190122,9.7305624
20190123,10.0894896
20190124,10.4697036
20190125,12.1305276
20190126,16.4122524
20190127,14.2420032
20190128,13.8025296
20190129,13.7589516
20190130,15.1157016
20190131,17.3083068
20190201,20.8861416
20190202,21.948084
20190203,20.105982
20190204,16.8861348
20190205,8.8961004
20190206,10.2357432
20190207,8.8504164
20190208,7.9952832
20190209,7.7318388
20190210,8.1899748
20190211,7.5465432
20190212,6.3509184
20190213,6.3989028
20190214,6.024294
20190215,6.5685816
20190216,9.368298
20190217,7.1660052
20190218,7.6490244
20190219,7.5357216
20190220,6.6632544
20190221,6.6176676
20190222,7.1541144
20190223,10.200816
20190224,8.2586628
20190225,6.976044
20190226,6.9178212
20190227,7.8873264
20190228,10.9018872
20190301,9.0241452
20190302,12.3112872
20190303,8.2447308
20190304,8.2010556
20190305,7.79058
20190306,7.714116
20190307,7.6388184
20190308,9.0038952
20190309,12.1617612
20190310,8.1160056
20190311,8.1142884
20190312,7.704882
20190313,7.7518944
20190314,7.6597164
20190315,8.9127864
20190316,12.9224808
20190317,8.6654124
20190318,8.637354
20190319,8.05626
20190320,8.1767556
20190321,8.011548
20190322,9.2845764
20190323,12.6815868
20190324,8.6251392
20190325,8.884242
20190326,8.0945244
20190327,8.2378296
20190328,8.3285496
20190329,9.476838
20190330,12.7433736
20190331,13.3581636
20190401,9.184104
20190402,9.5496084
20190403,10.8457056
20190404,14.8367052
20190405,29.3645088
20190406,14.7957192
20190407,10.5883524
20190408,11.1313116
20190409,9.0115092
20190410,9.0477
20190411,9.2622528
20190412,10.507158
20200101,6.3355608
20200102,6.863454
20200103,13.6754892
20200104,12.3969528
20200105,10.382256
20200106,10.0850508
20200107,11.4374916
20200108,12.53151
20200109,14.1157404
20200110,12.0146976
20200111,15.5105604
20200112,11.913318
20200113,11.098134
20200114,10.8683532
20200115,11.939562
20200116,13.047156
20200117,14.4694836
20200118,17.4288348
20200119,17.2898064
20200120,19.6568208
20200121,23.8547592
20200122,23.8205448
20200123,23.9144724
20200124,18.6437052
20200125,8.116686
20200126,5.303232
20200127,3.6684252
20200128,2.4341796
20200129,1.8136224
20200130,1.60623
20200131,1.4281272
20200201,1.2402396
20200202,1.3714596
20200203,1.2228732
20200204,1.0646316
20200205,0.9950688
20200206,0.8485884
20200207,0.9366192
20200208,1.0135044
20200209,0.9475056
20200210,1.0333008
20200211,0.9017244
20200212,0.868644
20200213,0.8862696
20200214,0.8753508
20200215,0.8263944
20200216,0.8073108
20200217,0.9084312
20200218,0.9218124
20200219,0.9125136
20200220,0.9145224
20200221,1.0138932
20200222,1.1402208
20200223,1.0157724
20200224,1.0876032
20200225,1.139832
20200226,1.178226
20200227,1.160568
20200228,1.2411468
20200229,1.4334408
20200301,1.190376
20200302,1.3171248
20200303,1.2879
20200304,1.2545928
20200305,1.2210912
20200306,1.3130748
20200307,1.5368292
20200308,1.1951388
20200309,1.294704
20200310,1.3171248
20200311,1.3783284
20200312,1.3898628
20200313,1.504656
20200314,1.8404496
20200315,1.418634
