date,migration_index
20190112,4.6885392
20190113,4.0051584
20190114,4.1296392
20190115,3.866454
20190116,3.8839824
20190117,3.7795248
20190118,3.8668428
20190119,4.5407628
20190120,4.1226732
20190121,4.3277652
20190122,4.526604
20190123,4.5425448
20190124,4.314384
20190125,4.8158712
20190126,5.929038
20190127,5.706774
20190128,6.4274472
20190129,6.9056388
20190130,6.761718
20190131,7.0877916
20190201,8.2779084
20190202,8.7316056
20190203,8.2786212
20190204,5.9153004
20190205,4.5977868
20190206,6.4126728
20190207,5.1981588
20190208,4.2090192
20190209,3.9386088
20190210,3.8537532
20190211,3.3974964
20190212,3.3437448
20190213,3.5669808
20190214,3.607092
20190215,3.5985384
20190216,4.0396968
20190217,3.5802324
20190218,3.779136
20190219,3.4954092
20190220,3.1850172
20190221,2.988414
20190222,3.1328208
20190223,3.957984
20190224,4.072518
20190225,3.5558028
20190226,3.0229524
20190227,3.2026428
20190228,4.037364
20190301,3.5204868
20190302,4.1185908
20190303,3.6399132
20190304,3.9525408
20190305,3.214404
20190306,3.025836
20190307,3.097278
20190308,3.6546876
20190309,4.3648308
20190310,3.8273472
20190311,4.119174
20190312,3.378348
20190313,3.2018976
20190314,3.1662576
20190315,3.6878652
20190316,4.7194812
20190317,3.7837692
20190318,3.9689028
20190319,3.4274664
20190320,3.3547932
20190321,3.2647536
20190322,3.5550576
20190323,4.5686268
20190324,3.8169792
20190325,4.0076532
20190326,3.4379316
20190327,3.2530896
20190328,3.2625828
20190329,3.8228436
20190330,4.9373388
20190331,5.3635932
20190401,4.336902
20190402,4.3899732
20190403,4.9851936
20190404,8.2392876
20190405,18.5633532
20190406,6.742764
20190407,5.3891244
20190408,5.2477308
20190409,4.1776884
20190410,3.9401316
20190411,3.8289672
20190412,4.2993828
20200101,3.1258224
20200102,3.2811804
20200103,5.1786864
20200104,6.0507648
20200105,5.9004612
20200106,5.7360636
20200107,5.8210488
20200108,5.8772304
20200109,6.2061552
20200110,5.3290224
20200111,6.4226196
20200112,5.8846176
20200113,5.700942
20200114,5.2532064
20200115,5.4063612
20200116,5.5528092
20200117,6.0885432
20200118,7.675236
20200119,7.21791
20200120,7.617888
20200121,9.70137
20200122,10.4538924
20200123,10.706418
20200124,7.2508608
20200125,4.0994748
20200126,3.1474332
20200127,2.1721932
20200128,1.7084196
20200129,1.4005224
20200130,1.226988
20200131,1.0407204
20200201,0.9329256
20200202,1.0635948
20200203,0.8582112
20200204,0.7241724
20200205,0.7577712
20200206,0.75978
20200207,0.8756424
20200208,1.1072376
20200209,1.1825028
20200210,1.2101724
20200211,0.9415116
20200212,0.92259
20200213,0.9505836
20200214,1.0203732
20200215,0.991116
20200216,0.8134668
20200217,1.0853028
20200218,1.0488528
20200219,1.0500516
20200220,1.1465064
20200221,1.3637484
20200222,1.7731872
20200223,1.5212448
20200224,1.7133444
20200225,1.5847812
20200226,1.551798
20200227,1.5707844
20200228,1.7449668
20200229,2.2704948
20200301,1.8695772
20200302,1.980774
20200303,1.6996716
20200304,1.6790976
20200305,1.7814168
20200306,2.00556
20200307,2.6867052
20200308,2.1074256
20200309,2.1818808
20200310,2.055132
20200311,2.0934612
20200312,2.0242224
20200313,2.295054
20200314,3.375756
20200315,2.6074224
