date,migration_index
20190112,10.976148
20190113,9.3407256
20190114,9.3356388
20190115,8.66457
20190116,9.29394
20190117,9.6909048
20190118,9.9609264
20190119,11.75634
20190120,10.853514
20190121,11.5344
20190122,11.9813904
20190123,12.9839112
20190124,13.4913924
20190125,14.4756396
20190126,18.0603108
20190127,17.7778476
20190128,18.0008568
20190129,17.0088012
20190130,16.0237764
20190131,16.361676
20190201,17.5477428
20190202,16.5084804
20190203,14.2816284
20190204,11.4904656
20190205,7.7750604
20190206,9.8193384
20190207,10.2669444
20190208,9.0518796
20190209,7.7014476
20190210,6.8878512
20190211,6.3177732
20190212,6.0326856
20190213,6.0744816
20190214,6.3319644
20190215,6.3365004
20190216,7.8240816
20190217,6.9613344
20190218,6.89553
20190219,6.2445492
20190220,6.107724
20190221,6.0220908
20190222,6.3240912
20190223,8.6273748
20190224,8.2904796
20190225,7.56216
20190226,6.8235372
20190227,7.6605264
20190228,9.7802316
20190301,8.4284712
20190302,10.7190216
20190303,8.8266996
20190304,9.0201276
20190305,7.5708432
20190306,7.5587256
20190307,7.6429332
20190308,8.443926
20190309,9.8581536
20190310,8.3189916
20190311,9.2112228
20190312,8.1456516
20190313,8.0783892
20190314,7.819254
20190315,8.5841208
20190316,11.9900088
20190317,9.4415868
20190318,9.0500976
20190319,7.720596
20190320,7.9449012
20190321,8.0398656
20190322,8.6889996
20190323,11.1935844
20190324,8.3497392
20190325,8.4752568
20190326,7.6614336
20190327,7.7276268
20190328,8.0024112
20190329,9.1924956
20190330,11.9966184
20190331,12.7412352
20190401,9.431316
20190402,9.862074
20190403,12.7499832
20190404,20.732112
20190405,31.249962
20190406,13.5605988
20190407,10.2707676
20190408,10.081746
20190409,8.1445176
20190410,8.2482948
20190411,8.4113316
20190412,8.845848
20200101,7.4173644
20200102,6.9391728
20200103,12.0128832
20200104,13.4684208
20200105,12.0472596
20200106,12.1762116
20200107,12.5962452
20200108,13.6678104
20200109,15.932538
20200110,13.2870456
20200111,15.9347412
20200112,14.6374128
20200113,13.7922912
20200114,13.1729004
20200115,14.250654
20200116,16.1085996
20200117,17.5868496
20200118,20.57157
20200119,19.3820688
20200120,19.1640168
20200121,22.0308984
20200122,19.6357932
20200123,17.214282
20200124,13.2808896
20200125,6.621102
20200126,4.7246328
20200127,3.4173576
20200128,2.4631452
20200129,1.9886796
20200130,1.8080172
20200131,1.6380144
20200201,1.6049016
20200202,1.7877024
20200203,1.6142004
20200204,1.3365648
20200205,1.3267476
20200206,1.3086684
20200207,1.3417812
20200208,1.4404392
20200209,1.4827536
20200210,1.7384544
20200211,1.3969584
20200212,1.3187448
20200213,1.3302792
20200214,1.3886316
20200215,1.4092056
20200216,1.1997072
20200217,1.7412408
20200218,1.5985512
20200219,1.6443324
20200220,1.7961264
20200221,2.0162844
20200222,2.5375032
20200223,2.160594
20200224,2.8229148
20200225,2.4530688
20200226,2.5200396
20200227,2.698272
20200228,2.9756808
20200229,3.9078612
20200301,3.3061284
20200302,3.8483748
20200303,3.3270264
20200304,3.2358204
20200305,3.3521688
20200306,3.7027692
20200307,4.9132008
20200308,4.0101156
20200309,4.521258
20200310,3.9768084
20200311,4.0271904
20200312,4.0651956
20200313,4.394574
20200314,5.9029236
20200315,4.8921408
