date,migration_index
20190112,4.4136576
20190113,3.4975152
20190114,3.6418572
20190115,3.5538588
20190116,3.6275688
20190117,3.836646
20190118,4.2196464
20190119,4.9553208
20190120,3.9889908
20190121,4.0220388
20190122,3.8006496
20190123,4.1380308
20190124,3.9823812
20190125,4.5060624
20190126,5.5974564
20190127,5.2043472
20190128,5.2516188
20190129,5.080644
20190130,5.212026
20190131,5.445144
20190201,6.4724184
20190202,7.7005404
20190203,7.9430868
20190204,6.7302576
20190205,4.9745664
20190206,5.6120688
20190207,4.9164408
20190208,4.093092
20190209,3.6815472
20190210,3.478464
20190211,3.1294512
20190212,2.7492372
20190213,2.6449416
20190214,2.6847612
20190215,2.7772956
20190216,3.4051428
20190217,2.7796932
20190218,3.032802
20190219,2.5917732
20190220,2.6532036
20190221,2.4982344
20190222,2.6834004
20190223,3.7352988
20190224,3.3770844
20190225,3.1320432
20190226,2.7732456
20190227,3.0234708
20190228,3.9302496
20190301,3.3839856
20190302,4.1633676
20190303,3.186378
20190304,3.5301744
20190305,3.1117284
20190306,2.9429568
20190307,3.0451464
20190308,3.6779508
20190309,4.6070532
20190310,3.5296236
20190311,3.8149704
20190312,3.2183568
20190313,3.0984444
20190314,3.085452
20190315,3.6938916
20190316,5.0425416
20190317,3.7758312
20190318,3.9348504
20190319,3.3354828
20190320,3.2835456
20190321,3.239514
20190322,3.7892448
20190323,5.1560064
20190324,4.0959432
20190325,4.1348556
20190326,3.5211024
20190327,3.3952932
20190328,3.317598
20190329,3.9203676
20190330,5.214618
20190331,5.7402108
20190401,4.1653764
20190402,4.0332492
20190403,4.3950276
20190404,7.3021824
20190405,16.3900584
20190406,6.7010004
20190407,5.7138048
20190408,5.4052596
20190409,3.9325176
20190410,3.7590156
20190411,3.7989
20190412,4.3672608
20200101,2.709936
20200102,2.6095932
20200103,4.9043556
20200104,4.9822452
20200105,4.6526724
20200106,4.5965556
20200107,4.6571436
20200108,5.038848
20200109,5.7936384
20200110,4.9392828
20200111,5.9569992
20200112,4.9687992
20200113,4.9245732
20200114,4.987332
20200115,5.1148908
20200116,5.1007644
20200117,5.239404
20200118,6.268752
20200119,5.9385312
20200120,6.2712468
20200121,7.9508952
20200122,8.5761504
20200123,9.5041836
20200124,8.2345572
20200125,4.159674
20200126,2.9502792
20200127,1.9354464
20200128,1.2616884
20200129,0.9239832
20200130,0.7799976
20200131,0.66825
20200201,0.6204924
20200202,0.6814044
20200203,0.6184512
20200204,0.5097492
20200205,0.48762
20200206,0.4363632
20200207,0.4223016
20200208,0.428004
20200209,0.438534
20200210,0.4679208
20200211,0.3665736
20200212,0.3404592
20200213,0.3527712
20200214,0.3535812
20200215,0.3454812
20200216,0.316872
20200217,0.40014
20200218,0.38961
20200219,0.4073976
20200220,0.4606308
20200221,0.5586408
20200222,0.6660468
20200223,0.6629688
20200224,0.836568
20200225,0.8411364
20200226,0.8530596
20200227,0.9096948
20200228,0.9927036
20200229,1.2100104
20200301,1.0551708
20200302,1.1883672
20200303,1.1296584
20200304,1.1066868
20200305,1.1564532
20200306,1.2903948
20200307,1.7067024
20200308,1.34298
20200309,1.4888448
20200310,1.3541256
20200311,1.4386248
20200312,1.4761116
20200313,1.6203888
20200314,2.1990528
20200315,1.7079336
