date,migration_index
20190112,8.6778216
20190113,6.5288268
20190114,6.9865416
20190115,6.6785472
20190116,6.931332
20190117,7.227792
20190118,7.8217164
20190119,9.6037812
20190120,7.699374
20190121,8.1895212
20190122,8.3800332
20190123,9.121086
20190124,10.0092348
20190125,11.2685904
20190126,14.3064144
20190127,14.2281036
20190128,14.408928
20190129,14.2501032
20190130,15.1299576
20190131,16.4415096
20190201,18.8495748
20190202,19.3644756
20190203,16.7288004
20190204,15.0865092
20190205,10.1383488
20190206,10.8036504
20190207,9.5186988
20190208,7.648506
20190209,6.3958572
20190210,5.5382292
20190211,5.2753032
20190212,4.830678
20190213,4.827114
20190214,5.0071284
20190215,5.2711236
20190216,6.7083552
20190217,5.3409456
20190218,5.8354992
20190219,5.3934012
20190220,5.3352108
20190221,5.340816
20190222,5.7338604
20190223,7.8139728
20190224,6.806106
20190225,6.0450948
20190226,5.8192344
20190227,6.5952144
20190228,8.6097492
20190301,7.0162848
20190302,8.5670784
20190303,6.1789392
20190304,6.9251112
20190305,6.566346
20190306,6.3574956
20190307,6.699996
20190308,7.693704
20190309,9.3858264
20190310,6.7059576
20190311,7.321266
20190312,6.8143032
20190313,6.7487904
20190314,6.8152428
20190315,7.9933392
20190316,10.7103708
20190317,7.2327816
20190318,7.4639556
20190319,7.1313048
20190320,7.3112868
20190321,7.227306
20190322,8.1791208
20190323,11.2989168
20190324,7.3487088
20190325,7.6029192
20190326,7.2414972
20190327,7.11261
20190328,7.283358
20190329,8.2965384
20190330,11.198088
20190331,11.92644
20190401,7.961814
20190402,8.568342
20190403,9.9544788
20190404,14.1753564
20190405,26.2611396
20190406,13.4070552
20190407,8.750916
20190408,9.1584756
20190409,7.878384
20190410,8.0414856
20190411,8.0449848
20190412,9.6868872
20200101,5.29821
20200102,5.747922
20200103,9.9314748
20200104,9.9292068
20200105,8.763714
20200106,9.2387304
20200107,9.4933296
20200108,10.1351412
20200109,11.6495172
20200110,10.042704
20200111,12.0849408
20200112,9.9519516
20200113,9.7406064
20200114,9.9392832
20200115,10.7847288
20200116,11.5333632
20200117,13.4792424
20200118,17.1798408
20200119,17.68311
20200120,18.708246
20200121,22.5761256
20200122,21.2782464
20200123,19.6302852
20200124,17.0179056
20200125,7.4295144
20200126,4.1795352
20200127,2.8482192
20200128,1.9215468
20200129,1.4327604
20200130,1.2159396
20200131,1.053162
20200201,0.9417708
20200202,0.9950364
20200203,0.9313704
20200204,0.7718976
20200205,0.68931
20200206,0.631476
20200207,0.6071436
20200208,0.6105456
20200209,0.6260328
20200210,0.695304
20200211,0.6204276
20200212,0.631638
20200213,0.6566832
20200214,0.6744384
20200215,0.6454728
20200216,0.6142392
20200217,0.7798032
20200218,0.7797384
20200219,0.81486
20200220,0.906228
20200221,0.9892692
20200222,1.0490148
20200223,0.989658
20200224,1.341522
20200225,1.3438224
20200226,1.3404528
20200227,1.4359032
20200228,1.5032952
20200229,1.6436196
20200301,1.426248
20200302,1.9020744
20200303,1.7623008
20200304,1.7342748
20200305,1.8099612
20200306,1.97154
20200307,2.2627512
20200308,1.7743536
20200309,2.3683104
20200310,2.1603348
20200311,2.2210848
20200312,2.3065884
20200313,2.4537492
20200314,3.0789072
20200315,2.3158548
