date,migration_index
20190112,3.074598
20190113,2.4123744
20190114,2.5440156
20190115,2.3090184
20190116,2.3061024
20190117,2.3652
20190118,2.4517404
20190119,2.7840996
20190120,2.4629508
20190121,2.6327592
20190122,2.4801552
20190123,2.5294032
20190124,2.5750872
20190125,2.8085292
20190126,3.281148
20190127,2.9877012
20190128,3.0396708
20190129,2.9697516
20190130,2.9752272
20190131,3.1670028
20190201,4.03704
20190202,4.8073176
20190203,5.43105
20190204,4.4438868
20190205,2.9644056
20190206,4.616028
20190207,3.8590992
20190208,3.09258
20190209,2.7848448
20190210,2.8172772
20190211,2.5866216
20190212,2.3605344
20190213,2.311092
20190214,2.263464
20190215,2.1893004
20190216,2.4847236
20190217,2.2349844
20190218,2.5091856
20190219,2.1919572
20190220,2.0456388
20190221,2.1506796
20190222,2.2161924
20190223,2.5720092
20190224,2.5710048
20190225,2.3057784
20190226,2.1339288
20190227,2.4178824
20190228,3.011094
20190301,2.5364664
20190302,2.8472472
20190303,2.4440616
20190304,2.4935688
20190305,2.2141512
20190306,2.100816
20190307,2.1587796
20190308,2.520396
20190309,2.716416
20190310,2.3193864
20190311,2.5718472
20190312,2.22264
20190313,2.1460788
20190314,2.170638
20190315,2.638818
20190316,2.896884
20190317,2.3220756
20190318,2.5574616
20190319,2.2437972
20190320,2.1827556
20190321,2.0579184
20190322,2.555064
20190323,2.8268028
20190324,2.3553504
20190325,2.6162676
20190326,2.261196
20190327,2.1800988
20190328,2.2620708
20190329,2.58552
20190330,2.7462888
20190331,3.0922236
20190401,2.694708
20190402,2.757726
20190403,3.0433644
20190404,4.5095292
20190405,8.1807732
20190406,3.9175164
20190407,3.5911836
20190408,3.3417684
20190409,2.7576288
20190410,2.6713476
20190411,2.626344
20190412,2.9757456
20200101,1.814076
20200102,1.9659024
20200103,3.26592
20200104,3.4148628
20200105,3.1236516
20200106,3.192858
20200107,3.2466744
20200108,3.4964784
20200109,3.89205
20200110,3.4405236
20200111,3.7629684
20200112,3.0994488
20200113,2.9727324
20200114,2.7168372
20200115,2.731482
20200116,2.9413044
20200117,3.2238
20200118,3.3579684
20200119,3.1581252
20200120,3.466476
20200121,4.4210124
20200122,5.174928
20200123,6.3455724
20200124,5.1006348
20200125,2.92329
20200126,3.117204
20200127,2.0435328
20200128,1.3220172
20200129,1.013148
20200130,0.9184752
20200131,0.7661304
20200201,0.7002936
20200202,0.796878
20200203,0.6523416
20200204,0.5441904
20200205,0.5245884
20200206,0.5110128
20200207,0.5351508
20200208,0.5314248
20200209,0.554688
20200210,0.5759748
20200211,0.4994784
20200212,0.4744332
20200213,0.5173308
20200214,0.5220612
20200215,0.3910032
20200216,0.356076
20200217,0.551124
20200218,0.5849172
20200219,0.5947344
20200220,0.6477732
20200221,0.5958684
20200222,0.764802
20200223,0.8391924
20200224,1.0000908
20200225,0.9828216
20200226,0.9983736
20200227,0.9925092
20200228,1.0341756
20200229,1.1067192
20200301,1.0212804
20200302,1.1368836
20200303,0.951102
20200304,0.7608492
20200305,1.108566
20200306,1.0705284
20200307,1.149552
20200308,0.9885564
20200309,1.1304684
20200310,1.0456452
20200311,1.0692
20200312,1.0941804
20200313,1.1924172
20200314,1.4117004
20200315,1.1791656
