date,migration_index
20190112,6.07014
20190113,4.9815648
20190114,5.0397552
20190115,4.505058
20190116,4.6888632
20190117,4.9669524
20190118,4.98636
20190119,5.616216
20190120,5.0216112
20190121,5.0216436
20190122,4.8646656
20190123,5.2137756
20190124,5.4295596
20190125,5.966298
20190126,7.639434
20190127,7.7501448
20190128,8.1059616
20190129,7.7630724
20190130,7.9482384
20190131,8.3884248
20190201,10.1067588
20190202,10.6891488
20190203,10.4261256
20190204,8.1922104
20190205,5.71293
20190206,6.8938128
20190207,4.939218
20190208,4.3091028
20190209,3.8925684
20190210,3.0577176
20190211,3.645162
20190212,3.7577844
20190213,3.8009412
20190214,2.7460944
20190215,3.5801676
20190216,5.148198
20190217,4.8425364
20190218,4.7958156
20190219,5.012928
20190220,3.9875004
20190221,3.4735716
20190222,3.9546144
20190223,5.2881012
20190224,5.6097036
20190225,4.3214472
20190226,4.005936
20190227,4.5418644
20190228,5.6990304
20190301,4.9436892
20190302,6.0610032
20190303,4.911516
20190304,4.8583476
20190305,4.4592444
20190306,4.289598
20190307,4.3962264
20190308,5.5152252
20190309,6.8100264
20190310,5.3779788
20190311,5.1038748
20190312,4.5579348
20190313,4.39911
20190314,4.5135468
20190315,5.4507168
20190316,7.156998
20190317,5.5165536
20190318,5.1348492
20190319,4.5248868
20190320,4.5016884
20190321,4.6923624
20190322,5.4897264
20190323,6.995808
20190324,5.5137024
20190325,5.1400656
20190326,4.5987912
20190327,4.5280296
20190328,4.5959076
20190329,5.2473096
20190330,6.782292
20190331,7.3412892
20190401,6.0936624
20190402,5.5143504
20190403,5.9958144
20190404,10.5699492
20190405,22.6947096
20190406,9.425322
20190407,6.9093972
20190408,6.2602956
20190409,5.2819776
20190410,5.1608016
20190411,5.2661016
20190412,6.0030072
20200101,3.9559104
20200102,4.213134
20200103,6.7992696
20200104,7.8327648
20200105,6.7429584
20200106,6.1650072
20200107,6.3085068
20200108,7.9578288
20200109,8.8243992
20200110,7.39854
20200111,7.9617816
20200112,6.5526084
20200113,6.0622344
20200114,5.82795
20200115,6.1578144
20200116,6.6595608
20200117,7.928442
20200118,8.2718496
20200119,8.8590996
20200120,9.7224948
20200121,11.9092356
20200122,12.3805908
20200123,12.2843628
20200124,9.9839304
20200125,4.3567308
20200126,2.4404004
20200127,1.3906728
20200128,1.0415628
20200129,0.8219556
20200130,0.7536564
20200131,0.655938
20200201,0.5949612
20200202,0.7323696
20200203,0.5671944
20200204,0.463158
20200205,0.4195152
20200206,0.3668976
20200207,0.4195476
20200208,0.4462776
20200209,0.4488696
20200210,0.4737204
20200211,0.4073004
20200212,0.4081428
20200213,0.4338036
20200214,0.431568
20200215,0.3897072
20200216,0.4048056
20200217,0.4871016
20200218,0.4950396
20200219,0.5034636
20200220,0.5334012
20200221,0.5870556
20200222,0.7462692
20200223,0.7796412
20200224,0.9217476
20200225,0.9185724
20200226,0.933606
20200227,0.8921016
20200228,0.9579384
20200229,1.1481588
20200301,1.238328
20200302,1.3635864
20200303,1.3393188
20200304,1.397736
20200305,1.461888
20200306,1.5782688
20200307,1.9672308
20200308,1.8187416
20200309,1.865916
20200310,1.86786
20200311,2.0084112
20200312,1.99098
20200313,1.9145484
20200314,2.1608208
20200315,2.1117348
